max_loss,max_daily_loss,max_gain,max_daily_gain,max_drawdown,drawdown_days,start_date,end_date,mv_6,mv_0
-0.1,-0.05,0.2,0.2,0.05,10,2016-01-01,2020-09-01,9323.0,7610.0
-0.1,-0.05,0.2,0.2,0.05,15,2016-01-01,2020-09-01,7973.0,7594.0
-0.1,-0.05,0.2,0.2,0.05,20,2016-01-01,2020-09-01,7978.0,7532.0
-0.1,-0.05,0.2,0.3,0.01,10,2016-01-01,2020-09-01,6094.0,6323.0
-0.1,-0.05,0.2,0.3,0.01,15,2016-01-01,2020-09-01,4968.0,5776.0
-0.1,-0.05,0.2,0.3,0.01,20,2016-01-01,2020-09-01,5150.0,6019.0
-0.1,-0.05,0.2,0.3,0.025,10,2016-01-01,2020-09-01,7317.0,8751.0
-0.1,-0.05,0.2,0.3,0.025,15,2016-01-01,2020-09-01,5029.0,8025.0
-0.1,-0.05,0.2,0.3,0.025,20,2016-01-01,2020-09-01,7493.0,8572.0
-0.1,-0.05,0.2,0.3,0.05,10,2016-01-01,2020-09-01,9218.0,7701.0
-0.1,-0.05,0.2,0.3,0.05,15,2016-01-01,2020-09-01,9437.0,7546.0
-0.1,-0.05,0.2,0.3,0.05,20,2016-01-01,2020-09-01,8247.0,7605.0
-0.1,-0.15,0.3,0.1,0.01,10,2016-01-01,2020-09-01,5667.0,6563.0
-0.1,-0.15,0.3,0.1,0.01,15,2016-01-01,2020-09-01,5449.0,5707.0
-0.1,-0.15,0.3,0.1,0.01,20,2016-01-01,2020-09-01,6113.0,5638.0
-0.1,-0.15,0.3,0.1,0.025,10,2016-01-01,2020-09-01,7164.0,8411.0
-0.1,-0.15,0.3,0.1,0.025,15,2016-01-01,2020-09-01,5083.0,8522.0
-0.1,-0.15,0.3,0.1,0.025,20,2016-01-01,2020-09-01,8506.0,9279.0
-0.1,-0.15,0.3,0.1,0.05,10,2016-01-01,2020-09-01,9262.0,7718.0
-0.1,-0.15,0.3,0.1,0.05,15,2016-01-01,2020-09-01,9797.0,8032.0
-0.1,-0.15,0.3,0.1,0.05,20,2016-01-01,2020-09-01,8306.0,7949.0
-0.1,-0.15,0.3,0.2,0.01,10,2016-01-01,2020-09-01,6226.0,6630.0
-0.1,-0.15,0.3,0.2,0.01,15,2016-01-01,2020-09-01,5608.0,5723.0
-0.1,-0.15,0.3,0.2,0.01,20,2016-01-01,2020-09-01,5952.0,5762.0
-0.1,-0.15,0.3,0.2,0.025,10,2016-01-01,2020-09-01,6342.0,8329.0
-0.1,-0.15,0.3,0.2,0.025,15,2016-01-01,2020-09-01,5068.0,8439.0
-0.1,-0.15,0.3,0.2,0.025,20,2016-01-01,2020-09-01,8313.0,9175.0
-0.1,-0.15,0.3,0.2,0.05,10,2016-01-01,2020-09-01,9009.0,7429.0
-0.1,-0.15,0.3,0.2,0.05,15,2016-01-01,2020-09-01,9216.0,8188.0
-0.1,-0.15,0.3,0.2,0.05,20,2016-01-01,2020-09-01,8126.0,8003.0
-0.1,-0.15,0.3,0.3,0.01,10,2016-01-01,2020-09-01,6232.0,6633.0
-0.1,-0.15,0.3,0.3,0.01,15,2016-01-01,2020-09-01,5605.0,5722.0
-0.1,-0.15,0.3,0.3,0.01,20,2016-01-01,2020-09-01,5328.0,5866.0
-0.1,-0.15,0.3,0.3,0.025,10,2016-01-01,2020-09-01,6470.0,8312.0
-0.1,-0.15,0.3,0.3,0.025,15,2016-01-01,2020-09-01,5290.0,8585.0
-0.1,-0.15,0.3,0.3,0.025,20,2016-01-01,2020-09-01,8057.0,8959.0
-0.1,-0.15,0.3,0.3,0.05,10,2016-01-01,2020-09-01,9540.0,7903.0
-0.1,-0.15,0.3,0.3,0.05,15,2016-01-01,2020-09-01,9778.0,8308.0
-0.1,-0.15,0.3,0.3,0.05,20,2016-01-01,2020-09-01,8346.0,7831.0
-0.1,-0.15,0.5,0.1,0.01,10,2016-01-01,2020-09-01,5648.0,6593.0
-0.1,-0.15,0.5,0.1,0.01,15,2016-01-01,2020-09-01,5459.0,5544.0
-0.1,-0.15,0.5,0.1,0.01,20,2016-01-01,2020-09-01,5863.0,5806.0
-0.1,-0.15,0.5,0.1,0.025,10,2016-01-01,2020-09-01,6424.0,8435.0
-0.1,-0.15,0.5,0.1,0.025,15,2016-01-01,2020-09-01,4959.0,8598.0
-0.1,-0.15,0.5,0.1,0.025,20,2016-01-01,2020-09-01,8690.0,8993.0
-0.1,-0.15,0.5,0.1,0.05,10,2016-01-01,2020-09-01,8103.0,7679.0
-0.1,-0.15,0.5,0.1,0.05,15,2016-01-01,2020-09-01,9227.0,8421.0
-0.1,-0.15,0.5,0.1,0.05,20,2016-01-01,2020-09-01,8248.0,7837.0
-0.1,-0.15,0.5,0.2,0.01,10,2016-01-01,2020-09-01,5791.0,6654.0
-0.1,-0.15,0.5,0.2,0.01,15,2016-01-01,2020-09-01,5625.0,5723.0
-0.1,-0.15,0.5,0.2,0.01,20,2016-01-01,2020-09-01,5929.0,5762.0
-0.1,-0.15,0.5,0.2,0.025,10,2016-01-01,2020-09-01,6438.0,8225.0
-0.1,-0.15,0.5,0.2,0.025,15,2016-01-01,2020-09-01,5041.0,8503.0
-0.1,-0.15,0.5,0.2,0.025,20,2016-01-01,2020-09-01,8887.0,8456.0
-0.1,-0.15,0.5,0.2,0.05,10,2016-01-01,2020-09-01,8887.0,7920.0
-0.1,-0.15,0.5,0.2,0.05,15,2016-01-01,2020-09-01,8890.0,8422.0
-0.1,-0.15,0.5,0.2,0.05,20,2016-01-01,2020-09-01,8443.0,8340.0
-0.1,-0.15,0.5,0.3,0.01,10,2016-01-01,2020-09-01,6358.0,6624.0
-0.1,-0.15,0.5,0.3,0.01,15,2016-01-01,2020-09-01,5618.0,5708.0
-0.1,-0.15,0.5,0.3,0.01,20,2016-01-01,2020-09-01,5329.0,5866.0
-0.1,-0.15,0.5,0.3,0.025,10,2016-01-01,2020-09-01,6447.0,8055.0
-0.1,-0.15,0.5,0.3,0.025,15,2016-01-01,2020-09-01,4695.0,8452.0
-0.1,-0.15,0.5,0.3,0.025,20,2016-01-01,2020-09-01,8920.0,8973.0
-0.1,-0.15,0.5,0.3,0.05,10,2016-01-01,2020-09-01,8886.0,7902.0
-0.1,-0.15,0.5,0.3,0.05,15,2016-01-01,2020-09-01,9145.0,8349.0
-0.1,-0.15,0.5,0.3,0.05,20,2016-01-01,2020-09-01,8160.0,7957.0
-0.1,-0.15,0.2,0.1,0.01,10,2016-01-01,2020-09-01,5913.0,6571.0
-0.1,-0.15,0.2,0.1,0.01,15,2016-01-01,2020-09-01,4717.0,5709.0
-0.1,-0.15,0.2,0.1,0.01,20,2016-01-01,2020-09-01,5221.0,6304.0
-0.1,-0.15,0.2,0.1,0.025,10,2016-01-01,2020-09-01,6998.0,8403.0
-0.1,-0.15,0.2,0.1,0.025,15,2016-01-01,2020-09-01,5791.0,8723.0
-0.1,-0.15,0.2,0.1,0.025,20,2016-01-01,2020-09-01,7242.0,8658.0
-0.1,-0.15,0.2,0.1,0.05,10,2016-01-01,2020-09-01,9105.0,7764.0
-0.1,-0.15,0.2,0.1,0.05,15,2016-01-01,2020-09-01,9178.0,8347.0
-0.1,-0.15,0.2,0.1,0.05,20,2016-01-01,2020-09-01,8135.0,7281.0
-0.1,-0.15,0.2,0.2,0.01,10,2016-01-01,2020-09-01,6496.0,6700.0
-0.1,-0.15,0.2,0.2,0.01,15,2016-01-01,2020-09-01,4788.0,5647.0
-0.1,-0.15,0.2,0.2,0.01,20,2016-01-01,2020-09-01,5179.0,5736.0
-0.1,-0.15,0.2,0.2,0.025,10,2016-01-01,2020-09-01,7405.0,8289.0
-0.1,-0.15,0.2,0.2,0.025,15,2016-01-01,2020-09-01,5395.0,8666.0
-0.1,-0.15,0.2,0.2,0.025,20,2016-01-01,2020-09-01,7536.0,9094.0
-0.1,-0.15,0.2,0.2,0.05,10,2016-01-01,2020-09-01,9489.0,8324.0
-0.1,-0.15,0.2,0.2,0.05,15,2016-01-01,2020-09-01,9484.0,8201.0
-0.1,-0.15,0.2,0.2,0.05,20,2016-01-01,2020-09-01,8167.0,7454.0
-0.1,-0.15,0.2,0.3,0.01,10,2016-01-01,2020-09-01,6417.0,6615.0
-0.1,-0.15,0.2,0.3,0.01,15,2016-01-01,2020-09-01,4788.0,5645.0
-0.1,-0.15,0.2,0.3,0.01,20,2016-01-01,2020-09-01,5137.0,6277.0
-0.1,-0.15,0.2,0.3,0.025,10,2016-01-01,2020-09-01,7378.0,8419.0
-0.1,-0.15,0.2,0.3,0.025,15,2016-01-01,2020-09-01,5358.0,8668.0
-0.1,-0.15,0.2,0.3,0.025,20,2016-01-01,2020-09-01,7031.0,9714.0
-0.1,-0.15,0.2,0.3,0.05,10,2016-01-01,2020-09-01,9467.0,7875.0
-0.1,-0.15,0.2,0.3,0.05,15,2016-01-01,2020-09-01,9509.0,8231.0
-0.1,-0.15,0.2,0.3,0.05,20,2016-01-01,2020-09-01,8036.0,8511.0
-0.2,-0.1,0.3,0.1,0.01,10,2016-01-01,2020-09-01,6372.0,6398.0
-0.2,-0.1,0.3,0.1,0.01,15,2016-01-01,2020-09-01,5425.0,5737.0
-0.2,-0.1,0.3,0.1,0.01,20,2016-01-01,2020-09-01,4936.0,5500.0
-0.2,-0.1,0.3,0.1,0.025,10,2016-01-01,2020-09-01,7103.0,9639.0
-0.2,-0.1,0.3,0.1,0.025,15,2016-01-01,2020-09-01,6056.0,8681.0
-0.2,-0.1,0.3,0.1,0.025,20,2016-01-01,2020-09-01,8988.0,9428.0
-0.2,-0.1,0.3,0.1,0.05,10,2016-01-01,2020-09-01,9783.0,8118.0
-0.2,-0.1,0.3,0.1,0.05,15,2016-01-01,2020-09-01,8145.0,8754.0
-0.2,-0.1,0.3,0.1,0.05,20,2016-01-01,2020-09-01,8683.0,8317.0
-0.2,-0.1,0.3,0.2,0.01,10,2016-01-01,2020-09-01,6073.0,6550.0
-0.2,-0.1,0.3,0.2,0.01,15,2016-01-01,2020-09-01,5566.0,5765.0
-0.2,-0.1,0.3,0.2,0.01,20,2016-01-01,2020-09-01,4927.0,5532.0
-0.2,-0.1,0.3,0.2,0.025,10,2016-01-01,2020-09-01,6985.0,9332.0
-0.2,-0.1,0.3,0.2,0.025,15,2016-01-01,2020-09-01,5599.0,8890.0
-0.2,-0.1,0.3,0.2,0.025,20,2016-01-01,2020-09-01,8370.0,9414.0
-0.2,-0.1,0.3,0.2,0.05,10,2016-01-01,2020-09-01,9267.0,7544.0
-0.2,-0.1,0.3,0.2,0.05,15,2016-01-01,2020-09-01,7908.0,8860.0
-0.2,-0.1,0.3,0.2,0.05,20,2016-01-01,2020-09-01,8855.0,9026.0
-0.2,-0.1,0.3,0.3,0.01,10,2016-01-01,2020-09-01,6459.0,6269.0
-0.2,-0.1,0.3,0.3,0.01,15,2016-01-01,2020-09-01,5563.0,5765.0
-0.2,-0.1,0.3,0.3,0.01,20,2016-01-01,2020-09-01,4917.0,5536.0
-0.2,-0.1,0.3,0.3,0.025,10,2016-01-01,2020-09-01,7048.0,9603.0
-0.2,-0.1,0.3,0.3,0.025,15,2016-01-01,2020-09-01,5306.0,8876.0
-0.2,-0.1,0.3,0.3,0.025,20,2016-01-01,2020-09-01,8461.0,9467.0
-0.2,-0.1,0.3,0.3,0.05,10,2016-01-01,2020-09-01,9444.0,8629.0
-0.2,-0.1,0.3,0.3,0.05,15,2016-01-01,2020-09-01,7985.0,8967.0
-0.2,-0.1,0.3,0.3,0.05,20,2016-01-01,2020-09-01,8864.0,8906.0
-0.2,-0.1,0.5,0.1,0.01,10,2016-01-01,2020-09-01,5961.0,6444.0
-0.2,-0.1,0.5,0.1,0.01,15,2016-01-01,2020-09-01,5550.0,5833.0
-0.2,-0.1,0.5,0.1,0.01,20,2016-01-01,2020-09-01,4270.0,5504.0
-0.2,-0.1,0.5,0.1,0.025,10,2016-01-01,2020-09-01,7017.0,8944.0
-0.2,-0.1,0.5,0.1,0.025,15,2016-01-01,2020-09-01,5139.0,8900.0
-0.2,-0.1,0.5,0.1,0.025,20,2016-01-01,2020-09-01,7977.0,9085.0
-0.2,-0.1,0.5,0.1,0.05,10,2016-01-01,2020-09-01,8007.0,8300.0
-0.2,-0.1,0.5,0.1,0.05,15,2016-01-01,2020-09-01,7886.0,8696.0
-0.2,-0.1,0.5,0.1,0.05,20,2016-01-01,2020-09-01,8185.0,8250.0
-0.2,-0.1,0.5,0.2,0.01,10,2016-01-01,2020-09-01,6192.0,6544.0
-0.2,-0.1,0.5,0.2,0.01,15,2016-01-01,2020-09-01,5566.0,5765.0
-0.2,-0.1,0.5,0.2,0.01,20,2016-01-01,2020-09-01,4910.0,5531.0
