max_loss,max_daily_loss,max_gain,max_daily_gain,max_drawdown,drawdown_days,start_date,end_date,mv
-0.2,-0.2,0.3,0.2,0.05,20,2017-06-30,2018-06-30,5404.0
-0.3,-0.2,0.5,0.1,0.05,20,2017-06-30,2018-06-30,5401.0
-0.3,-0.2,0.67,0.1,0.05,20,2017-06-30,2018-06-30,5401.0
-0.3,-0.1,0.5,0.2,0.05,30,2017-06-30,2018-06-30,5400.0
-0.3,-0.1,0.3,0.1,0.01,30,2017-06-30,2018-06-30,5400.0
-0.3,-0.1,0.5,0.1,0.01,30,2017-06-30,2018-06-30,5400.0
-0.3,-0.1,0.67,0.1,0.01,30,2017-06-30,2018-06-30,5400.0
-0.2,-0.1,0.5,0.1,0.05,30,2017-06-30,2018-06-30,5394.0
-0.3,-0.1,0.3,0.1,0.05,30,2017-06-30,2018-06-30,5393.0
-0.2,-0.1,0.3,0.2,0.05,30,2017-06-30,2018-06-30,5392.0
-0.3,-0.2,0.67,0.2,0.05,20,2017-06-30,2018-06-30,5389.0
-0.3,-0.2,0.5,0.2,0.05,20,2017-06-30,2018-06-30,5389.0
-0.3,-0.2,0.3,0.1,0.05,30,2017-06-30,2018-06-30,5388.0
-0.2,-0.1,0.5,0.2,0.05,30,2017-06-30,2018-06-30,5387.0
-0.3,-0.1,0.67,0.2,0.05,30,2017-06-30,2018-06-30,5386.0
-0.2,-0.1,0.3,0.1,0.05,30,2017-06-30,2018-06-30,5383.0
-0.2,-0.2,0.5,0.1,0.05,30,2017-06-30,2018-06-30,5381.0
-0.2,-0.1,0.67,0.1,0.05,30,2017-06-30,2018-06-30,5381.0
-0.2,-0.1,0.67,0.2,0.05,30,2017-06-30,2018-06-30,5370.0
-0.2,-0.2,0.67,0.1,0.05,30,2017-06-30,2018-06-30,5365.0
-0.3,-0.1,0.3,0.2,0.05,30,2017-06-30,2018-06-30,5365.0
-0.3,-0.2,0.5,0.1,0.05,30,2017-06-30,2018-06-30,5363.0
-0.2,-0.2,0.5,0.2,0.05,30,2017-06-30,2018-06-30,5360.0
-0.2,-0.2,0.3,0.1,0.05,30,2017-06-30,2018-06-30,5359.0
-0.3,-0.2,0.3,0.2,0.05,30,2017-06-30,2018-06-30,5358.0
-0.3,-0.2,0.5,0.2,0.05,30,2017-06-30,2018-06-30,5357.0
-0.2,-0.2,0.67,0.2,0.05,30,2017-06-30,2018-06-30,5353.0
-0.3,-0.2,0.67,0.2,0.05,30,2017-06-30,2018-06-30,5349.0
-0.3,-0.2,0.67,0.1,0.05,30,2017-06-30,2018-06-30,5346.0
-0.2,-0.2,0.3,0.2,0.05,30,2017-06-30,2018-06-30,5319.0
-0.3,-0.2,0.3,0.1,0.005,30,2017-06-30,2018-06-30,5192.0
-0.3,-0.2,0.67,0.1,0.005,30,2017-06-30,2018-06-30,5192.0
-0.3,-0.1,0.67,0.1,0.005,30,2017-06-30,2018-06-30,5192.0
-0.3,-0.1,0.5,0.1,0.005,30,2017-06-30,2018-06-30,5192.0
-0.3,-0.1,0.3,0.1,0.005,30,2017-06-30,2018-06-30,5192.0
-0.3,-0.2,0.5,0.1,0.005,30,2017-06-30,2018-06-30,5192.0
-0.3,-0.1,0.5,0.2,0.005,30,2017-06-30,2018-06-30,5190.0
-0.3,-0.2,0.67,0.2,0.005,30,2017-06-30,2018-06-30,5190.0
-0.3,-0.1,0.3,0.2,0.005,30,2017-06-30,2018-06-30,5190.0
-0.3,-0.1,0.67,0.2,0.005,30,2017-06-30,2018-06-30,5190.0
-0.3,-0.2,0.5,0.2,0.005,30,2017-06-30,2018-06-30,5190.0
-0.3,-0.2,0.3,0.2,0.005,30,2017-06-30,2018-06-30,5190.0
-0.2,-0.2,0.5,0.2,0.01,20,2017-06-30,2018-06-30,5055.0
-0.2,-0.2,0.3,0.2,0.01,20,2017-06-30,2018-06-30,5055.0
-0.2,-0.2,0.67,0.2,0.01,20,2017-06-30,2018-06-30,5055.0
-0.3,-0.2,0.67,0.2,0.01,20,2017-06-30,2018-06-30,5055.0
-0.3,-0.2,0.3,0.2,0.01,20,2017-06-30,2018-06-30,5055.0
-0.3,-0.2,0.5,0.2,0.01,20,2017-06-30,2018-06-30,5055.0
-0.3,-0.2,0.5,0.1,0.01,20,2017-06-30,2018-06-30,5027.0
-0.2,-0.2,0.3,0.1,0.01,20,2017-06-30,2018-06-30,5027.0
-0.2,-0.2,0.5,0.1,0.01,20,2017-06-30,2018-06-30,5027.0
-0.3,-0.2,0.3,0.1,0.01,20,2017-06-30,2018-06-30,5027.0
-0.2,-0.2,0.67,0.1,0.01,20,2017-06-30,2018-06-30,5027.0
-0.3,-0.2,0.67,0.1,0.01,20,2017-06-30,2018-06-30,5027.0
-0.3,-0.1,0.67,0.2,0.005,20,2017-06-30,2018-06-30,4867.0
-0.2,-0.1,0.5,0.1,0.005,20,2017-06-30,2018-06-30,4867.0
-0.3,-0.1,0.5,0.1,0.005,20,2017-06-30,2018-06-30,4867.0
-0.2,-0.1,0.67,0.1,0.005,20,2017-06-30,2018-06-30,4867.0
-0.3,-0.1,0.5,0.2,0.005,20,2017-06-30,2018-06-30,4867.0
-0.2,-0.1,0.3,0.1,0.005,20,2017-06-30,2018-06-30,4867.0
-0.2,-0.1,0.5,0.2,0.005,20,2017-06-30,2018-06-30,4867.0
-0.3,-0.1,0.3,0.1,0.005,20,2017-06-30,2018-06-30,4867.0
-0.2,-0.1,0.67,0.2,0.005,20,2017-06-30,2018-06-30,4867.0
-0.2,-0.1,0.3,0.2,0.005,20,2017-06-30,2018-06-30,4867.0
-0.3,-0.1,0.3,0.2,0.005,20,2017-06-30,2018-06-30,4867.0
-0.3,-0.1,0.67,0.1,0.005,20,2017-06-30,2018-06-30,4867.0
-0.2,-0.2,0.3,0.2,0.005,20,2017-06-30,2018-06-30,4855.0
-0.3,-0.2,0.5,0.2,0.005,20,2017-06-30,2018-06-30,4855.0
-0.3,-0.2,0.5,0.1,0.005,20,2017-06-30,2018-06-30,4855.0
-0.3,-0.2,0.3,0.2,0.005,20,2017-06-30,2018-06-30,4855.0
-0.3,-0.2,0.67,0.1,0.005,20,2017-06-30,2018-06-30,4855.0
-0.3,-0.2,0.67,0.2,0.005,20,2017-06-30,2018-06-30,4855.0
-0.3,-0.2,0.3,0.1,0.005,20,2017-06-30,2018-06-30,4855.0
-0.2,-0.2,0.67,0.2,0.005,20,2017-06-30,2018-06-30,4855.0
