symbol,description,industry,sector,market_cap
IRDM,Iridium Communications Inc.,Communication Services,Telecom Services,5.68B
TTM,Tata Motors Limited,Consumer Cyclical,Auto Manufacturers,15.75B
ORA,"Ormat Technologies, Inc.",Utilities,Utilities - Renewable,4.70B
OTEX,Open Text Corporation,Technology,Software - Application,13.37B
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,Financial,Closed-End Fund - Foreign,2.80B
RRR,"Red Rock Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,4.17B
MDU,"MDU Resources Group, Inc.",Basic Materials,Building Materials,6.33B
AVT,"Avnet, Inc.",Technology,Electronics & Computer Distribution,4.01B
MCO,Moody's Corporation,Financial,Financial Data & Stock Exchanges,55.63B
TXRH,"Texas Roadhouse, Inc.",Consumer Cyclical,Restaurants,6.70B
MTZ,"MasTec, Inc.",Industrials,Engineering & Construction,7.03B
IDA,"IDACORP, Inc.",Utilities,Utilities - Regulated Electric,4.93B
FLT,"FLEETCOR Technologies, Inc.",Technology,Information Technology Services,23.56B
HCAT,"Health Catalyst, Inc.",Healthcare,Health Information Services,2.13B
BMO,Bank of Montreal,Financial,Banks - Diversified,56.04B
NKTR,Nektar Therapeutics,Healthcare,Biotechnology,4.06B
FRC,First Republic Bank,Financial,Banks - Regional,29.13B
MASI,Masimo Corporation,Healthcare,Medical Instruments & Supplies,13.12B
SHOP,Shopify Inc.,Technology,Software - Application,143.60B
SMAR,Smartsheet Inc.,Technology,Software - Application,8.42B
FATE,"Fate Therapeutics, Inc.",Healthcare,Biotechnology,9.04B
NOMD,Nomad Foods Limited,Consumer Defensive,Packaged Foods,4.63B
LSXMK,The Liberty SiriusXM Group,Communication Services,Broadcasting,10.53B
AN,"AutoNation, Inc.",Consumer Cyclical,Auto & Truck Dealerships,7.02B
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",Consumer Defensive,Discount Stores,6.35B
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,18.99B
KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,25.51B
AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,24.31B
GH,"Guardant Health, Inc.",Healthcare,Diagnostics & Research,14.82B
HMC,"Honda Motor Co., Ltd.",Consumer Cyclical,Auto Manufacturers,54.73B
WH,"Wyndham Hotels & Resorts, Inc.",Consumer Cyclical,Lodging,6.61B
BKU,"BankUnited, Inc.",Financial,Banks - Regional,4.55B
RCII,"Rent-A-Center, Inc.",Industrials,Rental & Leasing Services,3.39B
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,13.38B
SVMK,SVMK Inc.,Technology,Software - Application,2.67B
LGF-B,Lions Gate Entertainment Corp.,Communication Services,Entertainment,2.19B
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,51.68B
WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,14.52B
CRTO,Criteo S.A.,Communication Services,Advertising Agencies,2.08B
SQM,Sociedad Quimica y Minera de Chile S.A.,Basic Materials,Chemicals,13.92B
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,19.22B
AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,10.58B
ESTC,Elastic N.V.,Technology,Software - Application,10.81B
NVCR,NovoCure Limited,Healthcare,Medical Instruments & Supplies,14.43B
APD,"Air Products and Chemicals, Inc.",Basic Materials,Chemicals,60.28B
FSKR,FS KKR Capital Corp. II,Financial,Asset Management,3.45B
GGG,Graco Inc.,Industrials,Specialty Industrial Machinery,11.56B
ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,44.85B
CAKE,The Cheesecake Factory Incorporated,Consumer Cyclical,Restaurants,2.67B
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,40.09B
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,12.82B
CINF,Cincinnati Financial Corporation,Financial,Insurance - Property & Casualty,17.09B
SBNY,Signature Bank,Financial,Banks - Regional,12.92B
BXMT,"Blackstone Mortgage Trust, Inc.",Real Estate,REIT - Mortgage,4.73B
JHG,Janus Henderson Group plc,Financial,Asset Management,5.58B
SRCL,"Stericycle, Inc.",Industrials,Waste Management,6.46B
WCN,"Waste Connections, Inc.",Industrials,Waste Management,26.95B
HTH,Hilltop Holdings Inc.,Financial,Banks - Regional,3.06B
CMD,Cantel Medical Corp.,Healthcare,Medical Instruments & Supplies,3.31B
CPT,Camden Property Trust,Real Estate,REIT - Residential,10.50B
MDB,"MongoDB, Inc.",Technology,Software - Infrastructure,19.92B
HDB,HDFC Bank Limited,Financial,Banks - Regional,147.68B
RGLD,"Royal Gold, Inc.",Basic Materials,Gold,7.07B
API,"Agora, Inc.",Technology,Software - Application,6.53B
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,38.69B
CDNA,"CareDx, Inc",Healthcare,Diagnostics & Research,3.92B
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,11.20B
VCYT,"Veracyte, Inc.",Healthcare,Biotechnology,3.66B
BEAM,Beam Therapeutics Inc.,Healthcare,Biotechnology,5.33B
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,13.98B
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,15.97B
ENTG,"Entegris, Inc.",Technology,Semiconductor Equipment & Materials,14.52B
EQC,Equity Commonwealth,Real Estate,REIT - Office,3.46B
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,26.40B
NVST,Envista Holdings Corporation,Healthcare,Medical Instruments & Supplies,6.59B
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,23.43B
